CRN,Course,Section,Title,Days,Times,Instructor,Loc,Class Info
24340,ADMJ 29,65Z,"Ethnic Studies, Cultural Pluralism, and American Law and JusticeView Footnote",·······,TBA-TBA,Meghan Kensler,ONLINE,OL
26996,AFAM 10,60Z,An Introduction to African American StudiesView Footnote,·······,TBA-TBA,Julie Keiffer-Lewis,ONLINE,OL
27608,AFAM 10,61Z,An Introduction to African American StudiesView Footnote,·······,TBA-TBA,Shanita Ealey,ONLINE,OL
27966,AFAM 10,62Z,An Introduction to African American StudiesView Footnote,·······,TBA-TBA,Julie Keiffer-Lewis,ONLINE,OL
26420,AFAM 12A,60Z,African American History to 1865View Footnote,·······,TBA-TBA,Julie Keiffer-Lewis,ONLINE,OL
24755,ANTH 1,01Y,Physical AnthropologyView Footnote,··W····,01:30 PM-03:20 PM,Ameeta Tiwana,MLC102,HY
TBA,·······,TBA-TBA,,ONLINE,,,,
24756,ANTH 1,02Y,Physical AnthropologyView Footnote,·T·····,01:30 PM-03:20 PM,"FELDMAN, AMANDA",MLC102,HY
CLAS,·······,TBA-TBA,,ONLINE,,,,
21055,ANTH 1,03Y,Physical AnthropologyView Footnote,M······,10:30 AM-12:20 PM,Elisabeth-Anne Mabie,MLC102,HY
CLAS,·······,TBA-TBA,,ONLINE,,,,
27735,ANTH 1,50Z,Physical AnthropologyView Footnote,·······,TBA-TBA,"FELDMAN, AMANDA",ONLINE,OL
28010,ANTH 1,51Z,Physical AnthropologyView Footnote,·······,TBA-TBA,Elisabeth-Anne Mabie,ONLINE,OLLQ
00076,ANTH 1,52Z,Physical AnthropologyView Footnote,·······,TBA-TBA,Ameeta Tiwana,ONLINE,OL
00082,ANTH 1,55Z,Physical AnthropologyView Footnote,·······,TBA-TBA,Emily Beggs,ONLINE,OL
00083,ANTH 1,56Z,Physical AnthropologyView Footnote,·······,TBA-TBA,Emily Beggs,ONLINE,OL
27301,ANTH 1,57Z,Physical AnthropologyView Footnote,·······,TBA-TBA,Leslie Berry,ONLINE,OL
22301,ANTH 1,62Z,Physical AnthropologyView Footnote,·······,TBA-TBA,Julie Hui,ONLINE,OL
24757,ANTH 1L,01,Physical Anthropology LaboratoryView Footnote,M······,01:30 PM-04:20 PM,Emily Beggs,MLC101,
00086,ANTH 1L,51Z,Physical Anthropology LaboratoryView Footnote,·······,TBA-TBA,Elisabeth-Anne Mabie,ONLINE,OL
21056,ANTH 1L,52Z,Physical Anthropology LaboratoryView Footnote,·······,TBA-TBA,Ameeta Tiwana,ONLINE,OL
21157,ANTH 1L,53Z,Physical Anthropology LaboratoryView Footnote,·······,TBA-TBA,Ameeta Tiwana,ONLINE,OL
21760,ANTH 1L,54Z,Physical Anthropology LaboratoryView Footnote,·······,TBA-TBA,Ameeta Tiwana,ONLINE,OL
00089,ANTH 2,01Y,Cultural AnthropologyView Footnote,M······,01:30 PM-03:20 PM,Daniel Solomon,L24,HY
CLAS,·······,TBA-TBA,,ONLINE,,,,
00095,ANTH 2,02Y,Cultural AnthropologyView Footnote,···R···,01:30 PM-03:20 PM,Angel Roque,L24,HY
CLAS,·······,TBA-TBA,,ONLINE,,,,
00093,ANTH 2,03Y,Cultural AnthropologyView Footnote,·T·····,01:30 PM-03:20 PM,Ashidhara Das,L24,HY
CLAS,·······,TBA-TBA,,ONLINE,,,,
25306,ANTH 2,52Z,Cultural AnthropologyView Footnote,·······,TBA-TBA,Alicia Hedges,ONLINE,OL
22789,ANTH 2,54Z,Cultural AnthropologyView Footnote,·······,TBA-TBA,Mayra Cerda Aguilar,ONLINE,OL
22297,ANTH 2,65Z,Cultural AnthropologyView Footnote,·······,TBA-TBA,Angel Roque,ONLINE,OL
25551,ANTH 3,01Y,Introduction to ArchaeologyView Footnote,·T·R···,11:30 AM-12:20 PM,Alicia Hedges,L24,HY
CLAS,·······,TBA-TBA,,ONLINE,,,,
27734,ANTH 4,50Z,World PrehistoryView Footnote,·······,TBA-TBA,Nancy Olsen,ONLINE,OL
26449,ANTH 5,50Z,"Magic, Science and ReligionView Footnote",·······,TBA-TBA,Daniel Solomon,ONLINE,OL
02449,ANTH 6,50Z,Linguistic AnthropologyView Footnote,·······,TBA-TBA,Ashidhara Das,ONLINE,OL
25303,ANTH 7,50Z,Introduction to Forensic AnthropologyView Footnote,·······,TBA-TBA,Elisabeth-Anne Mabie,ONLINE,OL
00117,ARTS 1A,01Y,Introduction to the Visual ArtsView Footnote,···R···,12:30 PM-02:20 PM,Elizabeth Mjelde,MLC103,HY
TBA,·······,TBA-TBA,,ONLINE,,,,
26854,ARTS 1A,02Y,Introduction to the Visual ArtsView Footnote,··W····,09:30 AM-11:20 AM,Paul Roehl,FOR3,HY
TBA,·······,TBA-TBA,,ONLINE,,,,
26940,ARTS 1A,03Y,Introduction to the Visual ArtsView Footnote,M······,02:30 PM-04:20 PM,Yael Karmi,VPA132,HY
TBA,·······,TBA-TBA,,ONLINE,,,,
26225,ARTS 1A,04Y,Introduction to the Visual ArtsView Footnote,····F··,09:30 AM-11:20 AM,Paul Roehl,A11,HY
TBA,·······,TBA-TBA,,ONLINE,,,,
24216,ARTS 1A,62Z,Introduction to the Visual ArtsView Footnote,·······,TBA-TBA,Elizabeth Mjelde,ONLINE,OL
24443,ARTS 1A,63Z,Introduction to the Visual ArtsView Footnote,·······,TBA-TBA,Elizabeth Mjelde,ONLINE,OL
25463,ARTS 1A,64Z,Introduction to the Visual ArtsView Footnote,·······,TBA-TBA,Yael Karmi,ONLINE,OL
21198,ARTS 1A,65Z,Introduction to the Visual ArtsView Footnote,·······,TBA-TBA,Deborah Pasturel,ONLINE,OL
00120,ARTS 2A,50Z,History of Art: Europe from Prehistory through Early ChristianityView Footnote,·······,TBA-TBA,Deborah Pasturel,ONLINE,OL
00121,ARTS 2B,50Z,History of Art: Europe During the Middle Ages and the RenaissanceView Footnote,·······,TBA-TBA,Linda Becerril,ONLINE,OL
25978,ARTS 2C,65Z,History of Art: Europe from the Baroque Period Through ImpressionismView Footnote,·······,TBA-TBA,Elizabeth Mjelde,ONLINE,OL
00123,ARTS 2D,50Z,History of Art: Europe and the United States from Post-Impressionism to the PresentView Footnote,·······,TBA-TBA,Linda Becerril,ONLINE,OL
00127,ARTS 2F,61Z,History of Art (Multicultural Arts in the United States)View Footnote,·······,TBA-TBA,Catie Cadge-Moore,ONLINE,OL
02534,ARTS 2F,62Z,History of Art (Multicultural Arts in the United States)View Footnote,·······,TBA-TBA,Catie Cadge-Moore,ONLINE,OL
25791,ARTS 2G,61Z,History of Art: Arts of AsiaView Footnote,·······,TBA-TBA,So Kam Lee,ONLINE,OL
27624,ARTS 2J,60Z,"History of Art: Arts of Africa, Oceania and Native North AmericaView Footnote",·······,TBA-TBA,Catie Cadge-Moore,ONLINE,OL
25297,ARTS 3TC,50Z,Women and ArtView Footnote,·······,TBA-TBA,Natasha Kleit,ONLINE,OL
27631,ASAM 1,40,Asian American Experiences Past to PresentView Footnote,M·W····,10:00 AM-11:50 AM,Wayne Jopanda,MCC-12,
25794,ASAM 1,61Z,Asian American Experiences Past to PresentView Footnote,·······,TBA-TBA,Mae Lee,ONLINE,OL
25795,ASAM 11,01Y,Asian Americans and RacismView Footnote,···R···,12:30 PM-02:00 PM,Mae Lee,MLC109,HY
TBA,·······,TBA-TBA,,ONLINE,,,,
27800,ASAM 11,60Z,Asian Americans and RacismView Footnote,·······,TBA-TBA,Mae Lee,ONLINE,OL
27626,ASAM 20,60Z,Asian Pacific American LiteratureView Footnote,·······,TBA-TBA,Francesca Caparas,ONLINE,OL
25792,ASAM 40,61Z,History of Art: Arts of AsiaView Footnote,·······,TBA-TBA,So Kam Lee,ONLINE,OL
25797,ASAM 41,61Z,Introduction to Korean Popular CultureView Footnote,·······,TBA-TBA,Young Jung,ONLINE,OL
00207,ASTR 4,01Z,Solar System AstronomyView Footnote,·T·R···,01:30 PM-02:20 PM,Rachel Mastrapa,ONLINE,OL
TBA,·······,TBA-TBA,,,,,,
00209,ASTR 4,02Z,Solar System AstronomyView Footnote,·T·R···,02:30 PM-03:20 PM,Srikar Srinath,ONLINE,OL
TBA,·······,TBA-TBA,,,,,,
27087,ASTR 4,04,Solar System AstronomyView Footnote,·T·R···,01:30 PM-03:45 PM,Caitlin Marie Kepple,PLT,
00206,ASTR 4,50Z,Solar System AstronomyView Footnote,·······,TBA-TBA,Caitlin Marie Kepple,ONLINE,OL
00208,ASTR 4,61Z,Solar System AstronomyView Footnote,·······,TBA-TBA,Rachel Mastrapa,ONLINE,OL
24967,ASTR 4,62Z,Solar System AstronomyView Footnote,·······,TBA-TBA,Marek Cichanski,ONLINE,OL
25942,ASTR 4,63Z,Solar System AstronomyView Footnote,·······,TBA-TBA,Marek Cichanski,ONLINE,OL
00210,ASTR 4,65Z,Solar System AstronomyView Footnote,·······,TBA-TBA,Eric Peterson,ONLINE,OL
27731,ASTR 10,01,Stellar AstronomyView Footnote,M·W····,01:30 PM-03:45 PM,Caitlin Marie Kepple,PLT,
25461,ASTR 10,51Z,Stellar AstronomyView Footnote,·······,TBA-TBA,Eric Peterson,ONLINE,OL
00237,BIOL 6A,01Y,Form and Function in the Biological WorldView Footnote,·······,TBA-TBA,Simon Kang'a,ONLINE,HY
LAB,M·W····,12:30 PM-03:20 PM,,SC2116,,,,
27809,BIOL 6A,02Y,Form and Function in the Biological WorldView Footnote,·······,TBA-TBA,Simon Kang'a,ONLINE,HY
LAB,M·W····,09:30 AM-12:20 PM,,SC2116,,,,
00239,BIOL 6A,03Y,Form and Function in the Biological WorldView Footnote,·······,TBA-TBA,Bruce Heyer,ONLINE,HY
LAB,M·W····,10:30 AM-01:20 PM,,SC2108,,,,
00240,BIOL 6A,04Y,Form and Function in the Biological WorldView Footnote,·······,TBA-TBA,Bruce Heyer,ONLINE,HY
LAB,M·W····,01:30 PM-04:20 PM,,SC2108,,,,
00241,BIOL 6A,05Y,Form and Function in the Biological WorldView Footnote,·······,TBA-TBA,Elizabeth Mcpartlan,ONLINE,HY
LAB,·T·R···,08:30 AM-11:20 AM,,SC2108,,,,
00243,BIOL 6A,06Y,Form and Function in the Biological WorldView Footnote,·······,TBA-TBA,Elizabeth Mcpartlan,ONLINE,HY
LAB,·T·R···,11:30 AM-02:20 PM,,SC2108,,,,
27869,BIOL 6A,10Y,Form and Function in the Biological WorldView Footnote,M·W····,09:30 AM-11:20 AM,Lianna Wong,ONLINE,HY
LAB,·T·R···,09:30 AM-12:20 PM,,SC2116,,,,
27870,BIOL 6A,11Y,Form and Function in the Biological WorldView Footnote,M·W····,09:30 AM-11:20 AM,Lianna Wong,ONLINE,HY
LAB,·T·R···,01:30 PM-04:20 PM,,SC2116,,,,
25378,BIOL 10,01Y,Introductory BiologyView Footnote,·······,TBA-TBA,Judy Cuff-Alvarado,ONLINE,$LHY
LAB,·T·····,09:30 AM-12:20 PM,,S52,,,,
25379,BIOL 10,02Y,Introductory BiologyView Footnote,·······,TBA-TBA,Judy Cuff-Alvarado,ONLINE,$LHY
LAB,·T·····,12:30 PM-03:20 PM,,S52,,,,
26053,BIOL 10,03Y,Introductory BiologyView Footnote,·······,TBA-TBA,Elizabeth Mcpartlan,ONLINE,HY
LAB,··W····,08:30 AM-11:20 AM,,S52,,,,
26054,BIOL 10,04Y,Introductory BiologyView Footnote,·······,TBA-TBA,Elizabeth Mcpartlan,ONLINE,HY
LAB,··W····,11:30 AM-02:20 PM,,S52,,,,
27172,BIOL 10,05Y,Introductory BiologyView Footnote,·······,TBA-TBA,Jason Bram,ONLINE,HY
LAB,·T·····,12:30 PM-03:20 PM,,S51,,,,
27173,BIOL 10,06Y,Introductory BiologyView Footnote,·······,TBA-TBA,Jason Bram,ONLINE,HY
LAB,···R···,12:30 PM-03:20 PM,,S51,,,,
27174,BIOL 10,07Y,Introductory BiologyView Footnote,·······,TBA-TBA,Judy Cuff-Alvarado,ONLINE,$LHY
LAB,···R···,09:30 AM-12:20 PM,,S52,,,,
27180,BIOL 10,08Y,Introductory BiologyView Footnote,·······,TBA-TBA,Judy Cuff-Alvarado,ONLINE,$LHY
LAB,···R···,12:30 PM-03:20 PM,,S52,,,,
27944,BIOL 11,04Y,Human BiologyView Footnote,·····S·,09:30 AM-01:20 PM,Ebenezer Morikang,ONLINE,HY
LAB,·····S·,03:20 PM-06:20 PM,,SC2106,,,,
27810,BIOL 11,08Y,Human BiologyView Footnote,·······,TBA-TBA,Simon Kang'a,ONLINE,HY
LAB,M······,03:30 PM-06:20 PM,,SC2116,,,,
27858,BIOL 11,09Y,Human BiologyView Footnote,·······,TBA-TBA,Simon Kang'a,ONLINE,HY
LAB,··W····,03:30 PM-06:20 PM,,SC2116,,,,
27192,BIOL 13,01Y,Marine BiologyView Footnote,·······,TBA-TBA,Jason Bram,ONLINE,HY
LAB,···R···,09:30 AM-12:20 PM,,S51,,,,
27246,BIOL 13,02Y,Marine BiologyView Footnote,·······,TBA-TBA,Jason Bram,ONLINE,HY
LAB,·T·····,09:30 AM-12:20 PM,,S51,,,,
27247,BIOL 26,01Y,Introductory MicrobiologyView Footnote,·······,TBA-TBA,Elsa Jimenez-Samayoa,ONLINE,$0HY
LAB,·T·R···,09:30 AM-12:20 PM,,SC2118,,,,
27248,BIOL 26,02Y,Introductory MicrobiologyView Footnote,·······,TBA-TBA,Elsa Jimenez-Samayoa,ONLINE,$0HY
LAB,·T·R···,12:30 PM-03:20 PM,,SC2118,,,,
27249,BIOL 26,03Y,Introductory MicrobiologyView Footnote,·······,TBA-TBA,Ann Daniel,ONLINE,HY
LAB,M·W····,05:30 PM-08:20 PM,,SC2118,,,,
27261,BIOL 40C,01,Human Anatomy and PhysiologyView Footnote,M·W····,12:30 PM-02:20 PM,Eric Pane,MLC103,
LAB,M······,09:30 AM-12:20 PM,,S51,,,,
27262,BIOL 40C,02,Human Anatomy and PhysiologyView Footnote,M·W····,12:30 PM-02:20 PM,Eric Pane,MLC103,
LAB,··W····,09:30 AM-12:20 PM,,S51,,,,
00308,BUS 21,62Z,Business and SocietyView Footnote,·······,TBA-TBA,Byron Lilly,ONLINE,OL
27992,BUS 54,11Z,Business MathematicsView Footnote,M·W····,09:30 AM-10:45 AM,Sandra Spencer,ONLINE,OL
TBA,·······,TBA-TBA,,,,,,
00311,BUS 56,62Z,Human Relations in the WorkplaceView Footnote,·······,TBA-TBA,Lale Yurtseven,ONLINE,OL
00330,CD 10G,01F,Child Development (The Early Years)View Footnote,·T·R···,04:00 PM-05:50 PM,Jayanti Roy,HOMSTD,OC
00332,CD 10G,04Y,Child Development (The Early Years)View Footnote,···R···,06:30 PM-08:20 PM,"SUN, LI WEI",CD1-10,HY
TBA,·······,TBA-TBA,,ONLINE,,,,
27046,CD 10G,01GF,Child Development (The Early Years)View Footnote,·T·R···,04:00 PM-05:50 PM,Jayanti Roy,HOMSTD,OC
25977,CD 10G,02CF,Child Development (The Early Years)View Footnote,·····S·,09:30 AM-01:20 PM,Shelley Gonzales,CDO,OC
00329,CD 10G,50Z,Child Development (The Early Years)View Footnote,·······,TBA-TBA,"SUN, LI WEI",ONLINE,OL
00331,CD 10G,51Z,Child Development (The Early Years)View Footnote,·······,TBA-TBA,Cristina Leal,ONLINE,OL
00333,CD 10H,01Z,Child Growth and Development (Middle Childhood and Adolescence)View Footnote,··W····,06:30 PM-10:20 PM,Jila Maleksalehi,ONLINE,OL
00335,CD 10H,02Z,Child Growth and Development (Middle Childhood and Adolescence)View Footnote,···R···,10:30 AM-12:20 PM,Julie Kennedy,ONLINE,OL
CLAS,·······,TBA-TBA,,,,,,
00337,CD 12,01Z,"Child, Family and Community InterrelationshipsView Footnote",·T·····,10:30 AM-11:20 AM,Nellie Vargas,ONLINE,OL
CLAS,·······,TBA-TBA,,,,,,
00339,CD 12,02Y,"Child, Family and Community InterrelationshipsView Footnote",···R···,10:30 AM-12:20 PM,Nellie Vargas,L28,HY
CLAS,·······,TBA-TBA,,ONLINE,,,,
22826,CD 12,02EZ,"Child, Family and Community InterrelationshipsView Footnote",·······,TBA-TBA,"SUN, LI WEI",ONLINE,OL
21961,CD 64,50Z,"Health, Safety, and Nutrition for the Young ChildView Footnote",·······,TBA-TBA,Richard Zalman,ONLINE,OL
26997,CETH 8,61Z,Women of Color in the USAView Footnote,·······,TBA-TBA,Marc Coronado,ONLINE,OL
26399,CETH 10,63Z,"Race, Ethnicity and InequalityView Footnote",·······,TBA-TBA,Mae Lee,ONLINE,OL
26401,CETH 13,61Z,History of Art (Multicultural Arts in the United States)View Footnote,·······,TBA-TBA,Catie Cadge-Moore,ONLINE,OL
26406,CETH 13,62Z,History of Art (Multicultural Arts in the United States)View Footnote,·······,TBA-TBA,Catie Cadge-Moore,ONLINE,OL
26402,CETH 29,65Z,"Ethnic Studies, Cultural Pluralism, and American Law and JusticeView Footnote",·······,TBA-TBA,Meghan Kensler,ONLINE,OL
21574,CHEM 1A,01,General ChemistryView Footnote,M·W····,12:30 PM-01:45 PM,Cinzia Muzzi,SC1102,
LAB,M·W····,08:30 AM-11:20 AM,,SC2202,,,,
21575,CHEM 1A,02,General ChemistryView Footnote,M·W····,12:30 PM-01:45 PM,Cinzia Muzzi,SC1102,
LAB,M·W····,02:30 PM-05:20 PM,,SC2202,,,,
21576,CHEM 1A,03,General ChemistryView Footnote,·T·R···,10:30 AM-11:45 AM,David Gray,SC1102,
LAB,·T·R···,07:30 AM-10:20 AM,,SC2202,,,,
21577,CHEM 1A,04,General ChemistryView Footnote,·T·R···,10:30 AM-11:45 AM,David Gray,SC1102,
LAB,·T·R···,02:30 PM-05:20 PM,Nayereh Rezaei,SC2202,,,,
21578,CHEM 1A,25,General ChemistryView Footnote,·T·R···,04:30 PM-05:45 PM,Christopher Deming,SC1102,
LAB,M·W····,11:30 AM-02:20 PM,,SC2202,,,,
21579,CHEM 1A,26,General ChemistryView Footnote,·T·R···,04:30 PM-05:45 PM,Christopher Deming,SC1102,
LAB,·T·R···,11:30 AM-02:20 PM,,SC2202,,,,
21580,CHEM 1A,65,General ChemistryView Footnote,·T·R···,06:00 PM-07:15 PM,Semere Bairu,SC1102,
LAB,M·W····,07:30 PM-10:20 PM,"STEPP, STEPHANIE",SC2202,,,,
21581,CHEM 1A,66,General ChemistryView Footnote,·T·R···,06:00 PM-07:15 PM,Semere Bairu,SC1102,
LAB,·T·R···,07:30 PM-10:20 PM,,SC2202,,,,
21582,CHEM 1B,11,General ChemistryView Footnote,M·W····,03:30 PM-04:45 PM,Megan Brophy,MLC105,
LAB,M·W····,08:30 AM-11:20 AM,,SC2204,,,,
21583,CHEM 1B,12,General ChemistryView Footnote,M·W····,03:30 PM-04:45 PM,Megan Brophy,MLC105,
LAB,M·W····,11:30 AM-02:20 PM,,SC2204,,,,
21584,CHEM 1B,52,General ChemistryView Footnote,M·W····,06:00 PM-07:15 PM,Josh Visser,G7,
LAB,M·W····,07:30 PM-10:20 PM,,SC2204,,,,
21585,CHEM 1C,53,General Chemistry and Qualitative AnalysisView Footnote,·T·R···,06:00 PM-07:15 PM,Michael Lane,S32,
LAB,·T·R···,02:30 PM-05:20 PM,,SC2208,,,,
21586,CHEM 1C,54,General Chemistry and Qualitative AnalysisView Footnote,·T·R···,06:00 PM-07:15 PM,Michael Lane,S32,
LAB,·T·R···,07:30 PM-10:20 PM,,SC2208,,,,
21601,CHEM 10,22Z,Introductory ChemistryView Footnote,M·W····,08:30 AM-10:20 AM,"LAK, PARNIAN",ONLINE,OL
LAB,··W····,11:30 AM-02:20 PM,,,,,,
21939,CHEM 10,61,Introductory ChemistryView Footnote,M·W····,05:30 PM-07:20 PM,James Maxwell,SC1102,
LAB,M······,07:30 PM-10:20 PM,,SC2210,,,,
27098,CHEM 10,62,Introductory ChemistryView Footnote,M·W····,05:30 PM-07:20 PM,James Maxwell,SC1102,
LAB,··W····,07:30 PM-10:20 PM,,SC2210,,,,
22997,CHEM 25,21,Preparation Course for General ChemistryView Footnote,M·W····,08:30 AM-10:20 AM,Margarete Leclerc,SC1102,
LAB,M······,11:30 AM-02:20 PM,,SC2208,,,,
22998,CHEM 25,22,Preparation Course for General ChemistryView Footnote,M·W····,08:30 AM-10:20 AM,Margarete Leclerc,SC1102,
LAB,··W····,11:30 AM-02:20 PM,,SC2208,,,,
23000,CHEM 25,23,Preparation Course for General ChemistryView Footnote,·T·R···,09:30 AM-11:20 AM,Cinzia Muzzi,S34,
LAB,·T·····,11:30 AM-02:20 PM,,SC2208,,,,
27697,CHEM 25,24,Preparation Course for General ChemistryView Footnote,·T·R···,09:30 AM-11:20 AM,Cinzia Muzzi,S34,
LAB,···R···,11:30 AM-02:20 PM,,SC2208,,,,
27099,CHEM 25,27Y,Preparation Course for General ChemistryView Footnote,····F··,08:30 AM-10:20 AM,"WILCOX, ALLAN",SC1102,HY
CLAS,·······,TBA-TBA,,ONLINE,,,,
LAB,····F··,10:30 AM-01:20 PM,,SC2208,,,,
23020,CHEM 25,61,Preparation Course for General ChemistryView Footnote,M·W····,05:30 PM-07:20 PM,Xiao Wang,S32,
LAB,M······,07:30 PM-10:20 PM,,SC2208,,,,
21590,CHEM 30A,23,"Introduction to General, Organic and Biochemistry IView Footnote",·T·R···,02:30 PM-04:20 PM,Brendan Mar,MLC105,
LAB,·T·····,11:30 AM-02:20 PM,,SC2204,,,,
21591,CHEM 30A,24,"Introduction to General, Organic and Biochemistry IView Footnote",·T·R···,02:30 PM-04:20 PM,Brendan Mar,MLC105,
LAB,···R···,11:30 AM-02:20 PM,,SC2204,,,,
27100,CHEM 30A,27Y,"Introduction to General, Organic and Biochemistry IView Footnote",····F··,08:30 AM-10:20 AM,"ERMUT, GORKEM",G7,HY
LAB,····F··,10:30 AM-01:20 PM,,SC2204,,,,
CLAS,·······,TBA-TBA,,ONLINE,,,,
21592,CHEM 30A,63,"Introduction to General, Organic and Biochemistry IView Footnote",·T·R···,05:30 PM-07:20 PM,Brendan Mar,MLC105,
LAB,·T·····,07:30 PM-10:20 PM,,SC2204,,,,
23677,CHEM 30A,64,"Introduction to General, Organic and Biochemistry IView Footnote",·T·R···,05:30 PM-07:20 PM,Brendan Mar,MLC105,
LAB,···R···,07:30 PM-10:20 PM,,SC2204,,,,
27101,CHEM 30B,27Y,"Introduction to General, Organic and Biochemistry IIView Footnote",·······,TBA-TBA,Megan Brophy,ONLINE,HY
LAB,····F··,10:30 AM-01:20 PM,,SC2210,,,,
CLAS,····F··,08:30 AM-10:20 AM,,G6,,,,
27629,CHLX 10,01FY,Introduction to Chicanx and Latinx StudiesView Footnote,··W····,01:30 PM-03:20 PM,Felipe Ponce,MCC-10,
TBA,·······,TBA-TBA,,ONLINE,,,,
27018,CHLX 10,60Z,Introduction to Chicanx and Latinx StudiesView Footnote,·······,TBA-TBA,Felipe Ponce,ONLINE,OL
27340,CHLX 10,61Z,Introduction to Chicanx and Latinx StudiesView Footnote,·······,TBA-TBA,Robert Unzueta,ONLINE,OL
27348,CHLX 10,62Z,Introduction to Chicanx and Latinx StudiesView Footnote,·······,TBA-TBA,Robert Unzueta,ONLINE,OL
27017,CHLX 13,60Z,The Chicanx and Latinx and the ArtsView Footnote,·······,TBA-TBA,Angelina Loyola,ONLINE,OL
00469,CIS 2,62Z,Computers and the Internet in SocietyView Footnote,·······,TBA-TBA,Valerie Taylor,ONLINE,OL
27775,CLP 7,01,Self-AssessmentView Footnote,·······,TBA-TBA,Herminio Hernando,ONLINE,
26509,CLP 7,01Z,Self-AssessmentView Footnote,··W····,09:30 AM-10:20 AM,Robert Alexander,ONLINE,OL
TBA,·······,TBA-TBA,,,,,,
25835,CLP 7,62Z,Self-AssessmentView Footnote,·······,TBA-TBA,Pauline Wethington,ONLINE,OL
24246,COMM 1,01Z,Public SpeakingView Footnote,M·W····,07:30 AM-09:45 AM,Joel Sakakihara,ONLINE,OL
24247,COMM 1,02Y,Public SpeakingView Footnote,M·W····,08:30 AM-10:20 AM,Royce Cano,L48,$0HY
TBA,·······,TBA-TBA,,ONLINE,,,,
24347,COMM 1,03Y,Public SpeakingView Footnote,M·W····,09:30 AM-11:20 AM,Shagundeep Kaur,L45,$0HY
TBA,·······,TBA-TBA,,ONLINE,,,,
24348,COMM 1,04Y,Public SpeakingView Footnote,M·W····,10:30 AM-12:20 PM,Kathleen Raiff,L48,HY
TBA,·······,TBA-TBA,,ONLINE,,,,
24349,COMM 1,05Y,Public SpeakingView Footnote,·T·R···,11:30 AM-01:20 PM,Alex Kramer,L45,$0HY
TBA,·······,TBA-TBA,,ONLINE,,,,
24352,COMM 1,06Y,Public SpeakingView Footnote,M·W····,12:30 PM-02:20 PM,James Ahern,L49,$0HY
TBA,·······,TBA-TBA,,ONLINE,,,,
24354,COMM 1,07Y,Public SpeakingView Footnote,M·W····,01:30 PM-03:20 PM,Kathleen Raiff,L43,HY
TBA,·······,TBA-TBA,,ONLINE,,,,
24355,COMM 1,08Y,Public SpeakingView Footnote,M·W····,02:30 PM-04:20 PM,Thalia Bobadilla,L49,$0HY
TBA,·······,TBA-TBA,,ONLINE,,,,
24356,COMM 1,09Y,Public SpeakingView Footnote,M·W····,04:30 PM-06:20 PM,Scott Koppel,L49,HY
TBA,·······,TBA-TBA,,ONLINE,,,,
25670,COMM 1,01UM,Public SpeakingView Footnote,·T·R···,09:30 AM-11:20 AM,Russell Hong,L49,
TBA,·······,TBA-TBA,,ONLINE,,,,
24346,COMM 1,10Y,Public SpeakingView Footnote,··W····,04:00 PM-06:15 PM,Stephanie Anderson,L45,$0HY
TBA,·······,TBA-TBA,,ONLINE,,,,
24359,COMM 1,11Y,Public SpeakingView Footnote,·T·R···,07:30 AM-09:20 AM,David Hamilton,L49,HY
TBA,·······,TBA-TBA,,ONLINE,,,,
24361,COMM 1,12Y,Public SpeakingView Footnote,·T·R···,08:30 AM-10:20 AM,Joel Sakakihara,L48,HY
TBA,·······,TBA-TBA,,ONLINE,,,,
24365,COMM 1,14Y,Public SpeakingView Footnote,·T·R···,10:30 AM-12:20 PM,Peter Lee,L48,HY
TBA,·······,TBA-TBA,,ONLINE,,,,
24366,COMM 1,15Y,Public SpeakingView Footnote,·T·R···,11:30 AM-01:20 PM,Russell Hong,L49,HY
TBA,·······,TBA-TBA,,ONLINE,,,,
24368,COMM 1,16Y,Public SpeakingView Footnote,·T·R···,12:30 PM-02:20 PM,Morgan McKnight,L48,HY
TBA,·······,TBA-TBA,,ONLINE,,,,
24371,COMM 1,17Y,Public SpeakingView Footnote,·T·R···,01:30 PM-03:20 PM,Alex Kramer,L45,$0HY
TBA,·······,TBA-TBA,,ONLINE,,,,
26315,COMM 1,18Y,Public SpeakingView Footnote,·T·R···,02:30 PM-04:20 PM,Peter Lee,L48,HY
TBA,·······,TBA-TBA,,ONLINE,,,,
26662,COMM 1,19Y,Public SpeakingView Footnote,·T·R···,04:30 PM-06:20 PM,Karl Isacson,L48,HY
TBA,·······,TBA-TBA,,ONLINE,,,,
24345,COMM 1,20Y,Public SpeakingView Footnote,·T·R···,06:30 PM-08:20 PM,Karl Isacson,L49,HY
TBA,·······,TBA-TBA,,ONLINE,,,,
24358,COMM 1,51Z,Public SpeakingView Footnote,M·W····,06:30 PM-08:45 PM,Stephen Hinerman,ONLINE,$0OL
24353,COMM 1,52Z,Public SpeakingView Footnote,·······,TBA-TBA,Alex Kramer,ONLINE,OL
24357,COMM 1,53Z,Public SpeakingView Footnote,·······,TBA-TBA,Nick Chivers,ONLINE,$0OL
24362,COMM 1,54Z,Public SpeakingView Footnote,·······,TBA-TBA,Thalia Bobadilla,ONLINE,$0OL
24369,COMM 1,55Z,Public SpeakingView Footnote,·······,TBA-TBA,James Ahern,ONLINE,$0OL
25456,COMM 1,56Z,Public SpeakingView Footnote,·······,TBA-TBA,Royce Cano,ONLINE,$0OL
